ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000428,St Leonard's,15.11219076,-1.496368173
E05000429,Stockwell,11.29620273,4.128779243
E05000430,Streatham Hill,10.58241192,-4.702018959
E05000431,Streatham South,1.977422032,3.010439978
E05000432,Streatham Wells,4.800519264,-5.717025847
E05000433,Thornton,-1.649961373,-5.006529855
E05000434,Thurlow Park,8.941323437,-8.868331955
E05000435,Tulse Hill,4.197520717,-0.25433751
E05000436,Vassall,4.479951559,-6.342917307
E05000437,Bellingham,-5.297776572,8.515500015
E05000438,Blackheath,8.050299177,3.127589971
E05000439,Brockley,14.80842818,-9.213494534
E05000440,Catford South,-3.619362829,-19.88292738
E05000441,Crofton Park,2.076729018,-11.30433049
E05000442,Downham,-3.559425945,8.808359057
E05000443,Evelyn,-4.575669865,-7.574273363
E05000444,Forest Hill,1.514306425,-5.761061082
E05000445,Grove Park,-4.178300356,-9.200708345
E05000446,Ladywell,5.122180241,0.436444606
E05000447,Lee Green,-1.048973567,-5.259936728
E05000448,Lewisham Central,9.924750359,-0.769825405
E05000449,New Cross,4.751490963,-10.79575679
E05000450,Perry Vale,-2.523109867,-21.36825697
E05000451,Rushey Green,9.830096793,3.340081815
E05000452,Sydenham,2.367347331,-0.251262176
E05000453,Telegraph Hill,10.2568598,-17.23602053
E05000454,Whitefoot,-6.968931468,1.903312233
E05000455,Abbey,9.678513139,-1.195186572
E05000456,Cannon Hill,-8.654687816,9.872436964
E05000457,Colliers Wood,1.145431371,1.782223017
E05000458,Cricket Green,-6.151655783,12.65372892
E05000459,Dundonald,8.083030375,-3.197424959
E05000460,Figge's Marsh,-1.065938485,3.356529784
E05000461,Graveney,-2.716563081,-3.568796754
E05000462,Hillside,11.36198614,-12.59269226
E05000463,Lavender Fields,-7.921383485,-1.675170675
E05000464,Longthornton,-6.958289328,3.793011089
E05000465,Lower Morden,-11.05295338,4.097773437
E05000466,Merton Park,0.523584064,1.45383128
E05000467,Pollards Hill,-8.465164254,14.10422844
E05000468,Ravensbury,-5.928782875,15.35474384
E05000469,Raynes Park,0.288984033,1.290914006
E05000470,St Helier,-4.668340623,11.78178168
E05000471,Trinity,1.241980871,7.746326945
E05000472,Village,-10.01348132,14.62769333
E05000473,West Barnes,-6.031603578,-0.301804836
E05000474,Wimbledon Park,-5.118675083,1.745370101
E05000475,Beckton,-6.705387303,-1.842348395
E05000476,Boleyn,1.950540663,-6.088597146
E05000477,Canning Town North,6.808572952,-2.006685084
E05000478,Canning Town South,-1.459467523,-13.86181454
E05000479,Custom House,-4.464627202,5.086364669
E05000480,East Ham Central,6.817802108,-7.323507556
